name,ra,dec,plate,mjd,fiberID,subclass,u_mag,g_mag,r_mag,i_mag,z_mag
364870212849264640,182.21242,-0.99592292,324,51666,286,M0,22.06316,19.37302,18.05849,17.41019,17.08094
364868838459729920,182.09292,-1.046444,324,51666,281,M4,22.76098,19.97318,18.5459,17.06076,16.24093
364857843343452160,182.24484,-0.9896198,324,51666,241,M1,22.01303,19.36389,17.97246,17.12418,16.65863
364847947738802176,182.5713,-1.0164177,324,51666,205,M1,21.79718,19.25107,17.87044,17.09781,16.66342
364849047250429952,182.64934,-0.9375018,324,51666,209,M2,21.82065,19.45267,18.08553,17.09255,16.57465
364863615779497984,182.20535,-0.50833413,324,51666,262,M0,22.0666,19.56352,18.25532,17.60808,17.25501
364853720174848000,182.38318,-0.53939154,324,51666,226,M4,22.06222,19.67185,18.32087,16.98468,16.29068
364854544808568832,182.46091,-0.59525004,324,51666,229,M4,22.13691,19.68464,18.21366,16.74005,15.89841
364843549692291072,182.79719,-0.56643037,324,51666,189,M2,22.10038,19.60371,18.27922,17.27308,16.723
364868563581822976,181.95575,-0.08662156,324,51666,280,M0,22.42838,19.79132,18.42047,17.70527,17.33122
364867738948102144,182.2088,-0.10718127,324,51666,277,M2,21.76788,19.09518,17.72928,16.67023,16.18068
364855094564382720,182.24788,-0.00737976,324,51666,231,M1,22.11,19.66803,18.23381,17.25985,16.80765
364842450180663296,182.6805,-0.16653323,324,51666,185,M4,22.78668,19.76844,18.29667,16.7951,15.99645
364840526035314688,183.21709,-0.09010775,324,51666,178,M3,21.82838,19.21255,17.83954,16.52768,15.84336
364839976279500800,183.2437,-0.09980556,324,51666,176,M3,22.17412,19.77357,18.30911,16.90056,16.15851
364849597006243840,182.6407,-0.77900934,324,51666,211,M4,19.21021,18.98763,18.3642,17.2709,16.59079
364866914314381312,182.04792,0.01408378,324,51666,274,M2,22.2951,19.69903,18.43233,17.46499,16.96755
364857018709731328,182.35876,0.00548968,324,51666,238,M3,21.87866,19.38857,18.00322,16.75274,16.08785
672262334487488512,171.8509,65.687737,597,52059,364,M3,23.64915,20.55473,19.12119,18.0132,17.38136
870397083910170624,158.66399,62.505682,773,52376,278,M4,23.03826,20.86976,19.34945,17.87913,17.10047
615979981851355136,123.89577,44.128043,547,51959,410,M0,22.47148,20.40988,18.91929,17.92248,17.60227
672184269161916416,175.61715,64.321222,597,52059,80,M3,24.75299,21.88398,20.4096,19.11043,18.5175
870440239741560832,159.09681,63.17008,773,52376,435,M0,21.15546,18.49858,17.09267,16.44311,16.09598
870364373439244288,161.23852,62.461395,773,52376,159,M2,22.87155,20.05552,18.55169,17.38078,16.84103
870351179299710976,161.32678,62.383738,773,52376,111,M3,22.10297,19.85751,18.51624,17.4269,16.83172
870362174415988736,161.16717,62.537326,773,52376,151,M4,23.63328,20.79011,19.37386,17.97933,17.21186
870361074904360960,161.28279,62.380927,773,52376,147,M1,24.42663,21.18616,19.83888,18.98163,18.48629
891721012033382400,226.95623,55.505296,792,52353,30,M1,21.47405,19.12891,17.70443,16.8612,16.38401
934650343021635584,134.30333,42.153959,830,52293,558,M4,20.86799,18.45603,17.1084,15.63401,14.90193
934641821806520320,134.23753,42.361524,830,52293,527,M2,22.96711,21.32208,19.76994,18.84368,18.28514
935665467148756992,136.59858,42.438159,831,52294,155,M1,23.5215,20.13714,18.71999,17.83562,17.35072
935664642515036160,136.54851,42.998096,831,52294,152,M0,22.25359,19.71492,18.28289,17.61253,17.171
935670414951081984,136.15684,42.996108,831,52294,173,M1,21.66729,21.01567,19.66534,18.90469,18.44444
797193520505972736,43.168701,-1.1533004,708,52175,205,M0,23.32438,20.56646,19.19504,18.4832,18.02636
762360724491102208,345.06768,0.91251685,677,52606,460,M4,22.57603,21.07592,19.63941,18.23412,17.46218
762278261119019008,345.29249,-0.39686869,677,52606,160,M3,23.49633,20.9457,19.4115,18.13195,17.3585
797307045081540608,44.36787,0.81298416,708,52175,618,M4,23.95314,21.48438,19.99097,18.38065,17.51969
323291362000660480,183.85582,0.88275434,287,52023,575,M2,25.80331,22.03902,20.55761,19.65599,19.08096
324291642318153728,185.05063,-0.11312861,288,52000,118,M2,22.1202,20.82527,20.24446,19.76586,19.31852
346910240098248704,221.69371,0.59198537,308,51662,484,M4,24.74911,22.38192,21.00917,19.56139,18.91245
346926732772665344,222.49812,0.47521271,308,51662,544,M4,24.69691,22.75012,21.25622,19.76435,18.90081
346928382040107008,222.42449,0.19859707,308,51662,550,M2,23.83029,21.49762,20.08707,19.631,18.52168
386327732457334784,239.44704,1.2073059,343,51692,524,M3,23.27032,21.97789,20.52925,19.31474,18.70028
387352752189106176,241.05791,-0.24410801,344,51693,157,M0,23.08989,21.44134,20.09899,19.46974,19.07914
424558034233092096,338.228,0.41507671,377,52145,341,M2,23.2255,21.47748,19.91857,18.81985,18.23103
424564356424951808,338.83753,1.1165188,377,52145,364,M3,23.27266,21.42956,19.96629,18.72472,18.04717
424609711279597568,339.79243,1.0186658,377,52145,529,M4,25.13626,21.64283,20.27391,18.88668,18.17291
496575766327224320,124.51253,46.177928,441,51868,196,M3,24.23233,22.33196,20.8135,19.6372,18.88203
496609026553964544,123.34105,46.147689,441,51868,317,M2,23.73254,21.57445,20.05738,19.15243,18.581
601253673502271488,215.75295,1.0043753,534,51997,84,M4,26.03615,22.21806,20.79127,19.37372,18.58315
533798085432731648,141.12113,1.0800814,474,52000,442,M3,19.9489,20.0617,20.13994,19.5627,19.02474
566437088086484992,154.44768,2.7344391,503,51999,398,M4,24.72035,23.35178,21.04113,19.93788,19.31267
636292364125628416,134.8931,3.8308799,565,52225,578,M4,24.17553,21.66893,20.08461,19.60545,17.70289
637325905273841664,135.93156,2.6979282,566,52238,242,M4,23.77839,22.32625,20.7966,19.2298,18.34575
453866886464038912,29.027159,0.38540035,403,51871,470,M2,23.68457,21.73789,20.32553,19.28721,18.79434
453865512074504192,29.27805,0.28389928,403,51871,465,M2,23.51138,22.00363,20.7373,19.66065,19.10274
453867161341945856,29.219362,0.76535089,403,51871,471,M2,24.47692,21.58615,20.19171,19.1667,18.57331
425602295418349568,342.17891,-1.086392,378,52146,44,M4,24.12225,22.75148,20.38145,18.90644,18.10328
424635549802850304,340.89572,-0.050735519,377,52145,623,M3,24.80306,22.67114,21.23072,19.78568,18.99175
424635000047036416,340.82479,0.40668393,377,52145,621,M4,21.71501,21.06157,20.66639,19.91419,19.10687
453911691562870784,30.480756,0.44359351,403,51871,633,M2,23.21731,21.61011,20.31196,19.20684,18.62208
468517328141707264,55.62119,0.23632112,416,51811,520,M3,24.43769,21.93818,20.39838,19.21764,18.58504
468522550821939200,55.715776,0.76785277,416,51811,539,M4,24.11055,22.52164,20.95081,19.11775,18.2401
425607518098581504,342.41718,-0.46173147,378,52146,63,M4,25.03731,22.01305,20.34154,18.76171,17.88439
425597622493931520,342.55051,-0.51221351,378,52146,27,M3,23.80023,22.03505,20.19396,18.97821,18.18266
454905923962431488,31.54667,-0.10083169,404,51812,154,M3,24.08761,21.97267,20.50845,19.29706,18.61335
424611085669132288,339.80156,1.1236061,377,52145,534,M4,23.52171,22.0237,20.58892,19.14785,18.38513
454886407631038464,31.713636,-1.0340343,404,51812,83,M4,23.4296,21.91085,20.4734,18.99337,18.16743
733042788890863616,1.0432371,-10.756923,651,52141,298,M4,24.83694,21.84789,20.32639,18.57682,17.63895
826444928673409024,329.81673,11.344355,734,52224,125,M3,23.01232,22.21322,20.69034,19.55654,19.07619
826436957214107648,330.11331,11.412228,734,52224,96,M2,24.17622,22.24426,20.64884,19.5989,18.88706
826413867469924352,330.75865,11.570482,734,52224,12,M2,24.66277,24.34801,21.28247,20.10538,19.55391
826461971103639552,329.82076,11.866069,734,52224,187,M2,23.965,22.77011,20.78114,20.24887,19.71839
826463895248988160,329.8517,11.836416,734,52224,194,M4,25.19298,24.95855,21.57681,20.1303,19.28222
826430360144340992,330.90077,12.046891,734,52224,72,M3,25.87744,23.90286,21.53094,20.23615,19.76366
826486160359450624,329.42892,12.148756,734,52224,275,M4,23.1663,23.94108,21.59725,20.17595,19.54696
825423207208085504,328.01596,12.391248,733,52207,504,M3,24.63447,23.16932,21.73084,20.43149,19.97057
825441074272036864,328.17424,12.81893,733,52207,569,M3,24.56234,22.332,20.90989,19.64481,19.59242
733023272559470592,1.5920546,-10.098469,651,52141,227,M3,23.64797,22.29186,21.3921,20.08751,19.67645
665575653902411776,230.0117,3.8345264,591,52022,614,M3,25.15224,22.38762,20.84203,19.83021,19.03456
700455461807220736,243.3667,49.20592,622,52054,530,M4,23.02482,21.5617,20.06311,20.49699,17.64669
666562740516579328,231.71503,2.7308598,592,52025,109,M4,24.38694,22.22405,20.74331,19.41246,18.6753
666553944423557120,231.92795,2.7096783,592,52025,77,M4,22.92651,22.16188,21.6972,20.66184,20.03389
826418540394342400,331.26282,11.820973,734,52224,29,M2,25.87035,23.16907,21.73265,20.33806,19.52463
825455093045291008,328.6007,12.734855,733,52207,620,M3,24.239,22.19078,22.78926,21.91203,19.53901
